"","PID","Predicted2018"
"1","1901488002",1288986.53715444
"2","0304832022",263140242.169467
"3","0602459002",1070413.72964039
"4","0302066010",1108455.49497118
"5","1102640043",1397065.12092677
"6","1100587040",3038601.01173379
"7","0402488002",3906282.54870762
"8","0402488002",3906282.54870762
"9","0502824002",30764952.1950656
"10","0402661002",3278389.47738762
"11","1804640002",584135.820644319
"12","2202200002",2048132.98990338
"13","0203778036",2438639.5627353
"14","1102640103",1765291.79633892
"15","1102640103",1765291.79633892
"16","1000967002",954081.274799762
"17","0502187002",7939808.19479087
"18","0502018002",1831293.8116087
"19","1603195002",648610.384985029
"20","0602144002",674514.068702102
"21","0200637012",1272212.40475498
"22","0302227002",1610700.94878309
"23","0401053020",180097686.507241
"24","1001736002",992330.907780721
"25","0604420002",1915841.1909433
"26","0501710004",6267299.71558702
"27","0502777002",8087380.22615132
"28","1601411002",1102405.29881205
"29","0500231002",1988307.71294507
"30","1101133002",646069.952836212
"31","0203385012",8239138.14295203
"32","0305424134",4286140.80733073
"33","0701017002",1057591.58705716
"34","0203667002",3957858.70556175
"35","1602347002",699266.001615677
"36","0103201002",4370391.84793599
"37","0502059004",6830804.18874511
"38","0502059004",6830804.18874511
"39","2201172002",2231615.06512119
"40","1901909004",933780.008861689
"41","0203831002",1756789.57434898
"42","0401530056",3894468.1623649
"43","0401530056",3894468.1623649
"44","0305801022",1190766.68790984
"45","1000480012",1620432.97523528
"46","1000480012",1620432.97523528
"47","0202800002",2490106.58787872
"48","0604434002",4107444.42941366
"49","0302135002",2650284.23916069
"50","0402534002",2926732.70393126
"51","0200248012",857109.095683699
"52","0801504002",4492490.54024828
"53","1102269002",1031383.97454586
"54","1102269002",1031383.97454586
"55","0201149002",1735708.1013237
"56","0201720002",1333934.7366291
"57","1002681002",1221547.66102086
"58","0203833002",1065639.60666975
"59","0203833002",1065639.60666975
"60","1902014110",2727568.81472934
"61","1902014110",2727568.81472934
"62","2002205002",593730.509521771
"63","0305983002",1639880.30954781
"64","1101996002",859832.379652271
"65","1101996002",859832.379652271
"66","1103020002",906275.564735395
"67","1603878002",5939236.2977112
"68","1902913002",737671.129595009
"69","2101776066",3644264.72316936
"70","2101776066",3644264.72316936
"71","0402649002",2806487.34177186
"72","0104515002",745868.514319862
"73","0400897012",3806468.22979647
"74","0400166002",1645361.18138202
"75","1301679002",764230.284601571
"76","0701505002",1420874.59406834
"77","0400859002",2270631.90465477
"78","0305815018",1287335.05344325
"79","0801495002",2236565.16910849
"80","2204133012",1450170.93455791
"81","2204133012",1450170.93455791
"82","0500254018",1433048.16196174
