"","PID","upid","regions"
"188","0105079002",1,"East Boston"
"189","0105081002",1,"East Boston"
"190","0105082002",1,"East Boston"
"191","0105103002",1,"East Boston"
"192","0105117012",1,"East Boston"
"193","0105145012",1,"East Boston"
"194","0105145014",1,"East Boston"
"195","0105203002",1,"East Boston"
"196","0105217012",1,"East Boston"
"197","0105225002",1,"East Boston"
"198","0105259002",1,"East Boston"
"199","0105336002",1,"East Boston"
"200","0105336004",1,"East Boston"
"201","0105336006",1,"East Boston"
"202","0105336008",1,"East Boston"
"203","0105336010",1,"East Boston"
"204","0105336012",1,"East Boston"
"205","0105336014",1,"East Boston"
"206","0105336016",1,"East Boston"
"207","0105336018",1,"East Boston"
"208","0105336020",1,"East Boston"
"209","0105336022",1,"East Boston"
"210","0105336024",1,"East Boston"
"211","0105336026",1,"East Boston"
"212","0105336028",1,"East Boston"
"213","0105355022",1,"East Boston"
"214","0105356002",1,"East Boston"
"215","0105357002",1,"East Boston"
"216","0105374004",1,"East Boston"
"217","0105374012",1,"East Boston"
"218","0105374028",1,"East Boston"
"219","0105392002",1,"East Boston"
"220","0105392028",1,"East Boston"
"221","0105402302",1,"East Boston"
"222","0105440052",1,"East Boston"
"223","0105440102",1,"East Boston"
"224","0105574002",1,"East Boston"
"225","0105634002",1,"East Boston"
"226","0105762004",1,"East Boston"
"227","0105773002",1,"East Boston"
"228","0105803002",1,"East Boston"
"229","0105870002",1,"East Boston"
"230","0105897006",1,"East Boston"
"231","0105931002",1,"East Boston"
"232","0106017002",1,"East Boston"
"233","0106044004",1,"East Boston"
"234","0106044014",1,"East Boston"
"235","0106329002",1,"East Boston"
"236","0106340002",1,"East Boston"
"237","0106362002",1,"East Boston"
"238","0106471002",1,"East Boston"
"239","0106544002",1,"East Boston"
"240","0106544004",1,"East Boston"
"241","0106560002",1,"East Boston"
"242","0106560008",1,"East Boston"
"243","0106560010",1,"East Boston"
"244","0106724012",1,"East Boston"
"245","0106760002",1,"East Boston"
"246","0106760004",1,"East Boston"
"247","0106760006",1,"East Boston"
"248","0106760008",1,"East Boston"
"249","0106804002",1,"East Boston"
"250","0106804004",1,"East Boston"
"251","0106809002",1,"East Boston"
"252","0106831012",1,"East Boston"
"253","0106834002",1,"East Boston"
"254","0107019002",1,"East Boston"
"255","0107033002",1,"East Boston"
"256","0107044002",1,"East Boston"
"257","0200001002",1,"Charlestown"
"258","0200011002",1,"Charlestown"
"259","0200012002",1,"Charlestown"
"260","0200018002",1,"Charlestown"
"261","0200019002",1,"Charlestown"
"262","0200021002",1,"Charlestown"
"263","0200025002",1,"Charlestown"
"264","0200029002",1,"Charlestown"
"265","0200030002",1,"Charlestown"
"266","0200032002",1,"Charlestown"
"267","0200035002",1,"Charlestown"
"268","0200036002",1,"Charlestown"
"269","0200037002",1,"Charlestown"
"270","0200038002",1,"Charlestown"
"271","0200040002",1,"Charlestown"
"272","0200041002",1,"Charlestown"
"273","0200044002",1,"Charlestown"
"274","0200045002",1,"Charlestown"
"275","0200048002",1,"Charlestown"
"276","0200049002",1,"Charlestown"
"277","0200050002",1,"Charlestown"
"278","0200058002",1,"Charlestown"
"279","0200060002",1,"Charlestown"
"280","0200065002",1,"Charlestown"
"281","0200066002",1,"Charlestown"
"282","0200067002",1,"Charlestown"
"283","0200072002",1,"Charlestown"
"284","0200073002",1,"Charlestown"
"285","0200074002",1,"Charlestown"
"286","0200081012",1,"Charlestown"
"287","0200081014",1,"Charlestown"
"288","0200084002",1,"Charlestown"
"289","0200090002",1,"Charlestown"
"290","0200096002",1,"Charlestown"
"291","0200099002",1,"Charlestown"
"292","0200099004",1,"Charlestown"
"293","0200100002",1,"Charlestown"
"294","0200107002",1,"Charlestown"
"295","0200111002",1,"Charlestown"
"296","0200127032",1,"Charlestown"
"297","0200143002",1,"Charlestown"
"298","0200144002",1,"Charlestown"
"299","0200145002",1,"Charlestown"
"300","0200147002",1,"Charlestown"
"301","0200148002",1,"Charlestown"
"302","0200157002",1,"Charlestown"
"303","0200161002",1,"Charlestown"
"304","0200161004",1,"Charlestown"
"305","0200162002",1,"Charlestown"
"306","0200163002",1,"Charlestown"
"307","0200164004",1,"Charlestown"
"308","0200165002",1,"Charlestown"
"309","0200166002",1,"Charlestown"
"310","0200186002",1,"Charlestown"
"311","0200188002",1,"Charlestown"
"312","0200190002",1,"Charlestown"
"313","0200193012",1,"Charlestown"
"314","0200195002",1,"Charlestown"
"315","0200198002",1,"Charlestown"
"316","0200199002",1,"Charlestown"
"317","0200200002",1,"Charlestown"
"318","0200202002",1,"Charlestown"
